r,ITC1,ITC2,ITC3,ITC4,ITF1,ITF2,ITF3,ITF4,ITF5,ITF6,ITG1,ITG2,ITH0,ITH3,ITH4,ITH5,ITI1,ITI2,ITI3,ITI4
53,0.9483685821884436,1.7666971405781506,0.7217292087546504,0.7605680262635053,2.580598408308413,0.7273169758826382,0.6214809367073815,0.8422088020680447,2.2600333679541116,0.8892562008452529,0.45391109487602205,1.598078148392701,0.6767525892034127,1.0108366094852705,1.0289337864739592,2.0975979446634643,2.4857118015693467,1.2548034623260782,1.0598342730949954,2.646982178530554
54,0.9914614814381192,1.7033857933014525,0.7326469933522847,0.7614239432584013,2.680543184791201,0.8510167230326108,0.5706587962055324,0.9865711883662452,2.236544326537643,1.3376733478583303,0.8399839839937365,1.9182752668193341,0.7052082783939143,1.2083455981862712,1.1882443735886703,2.1299026593493884,2.541199572073166,1.4621168083857656,1.217982476007966,2.7798626450707893
55,0.9691524917227891,1.7594586565147305,0.6789976760125989,0.736644823317852,2.5683950382949154,0.8155721835481099,0.6831821021425355,0.9450254743906465,2.22548822343811,1.143252467263702,0.6678844778820788,1.6847747820344385,0.7014159557022104,1.0640646438883246,1.0517791742437979,2.110823979469701,2.500496622797223,1.3374261564107073,1.0721565966504316,2.750675822512623
56,0.9410159377103335,1.6840553842873813,0.7530212947458029,0.7891862362276005,2.7022989634630097,0.8137506747770605,0.5126412602851822,0.9556015519509881,2.2949988370177477,0.9871852918517601,0.5861882277920494,1.8935340065452582,0.6545293358455244,1.1881440390222426,1.1390320804261944,2.1089977432665368,2.5502969217624103,1.4488348474485204,1.222002426905647,2.739109504294981
57,0.9944199222230466,1.7026450022928086,0.7384303798728331,0.7877240000045391,2.6952145477073226,0.8508507642999998,0.5596846623397733,0.980982387109577,2.2744663039060877,1.2830029757975563,0.800202001827115,1.9128451356018172,0.6865290063251195,1.2146128995529089,1.1932055955542302,2.1391141537569136,2.5553351763599874,1.4671517748850718,1.2392959874718203,2.776033652776712
58,0.9632955798389745,1.7673521392627174,0.7229037842625892,0.7678532526057628,2.598342081511068,0.7892281650755557,0.6409191135313088,0.941191747545461,2.2709406825030185,1.0197203493054492,0.6532210914319614,1.6944217581517877,0.6735840587133629,1.0859818298230461,1.040228621937011,2.108567570078003,2.520517687407017,1.3418001415655694,1.0835718744494331,2.7520048511292026
59,0.9755432617527265,1.7059980506261574,0.7460328631988141,0.7361576484717028,2.6427140804872433,0.786696586301356,0.6675467224175623,0.8635956810406482,2.1995339496038406,0.9724218001963575,0.6391543528615428,1.7969890981992025,0.7113526636867658,1.0848101811123183,1.1720929454793119,2.1100159067733744,2.486508825999337,1.366230498891113,1.1747795025265755,2.6775278735400803
60,0.9235892443495798,1.7533762451031587,0.7133636465162413,0.7668086993029766,2.592153218761414,0.6899541678867288,0.519236748764357,0.8424621499283019,2.2883469494106556,0.8816803496797193,0.4176581637418781,1.5773975527102526,0.646828015932827,1.0263743784131918,0.996147886122935,2.087180579947164,2.501067967707455,1.2502664356257431,1.071683849978361,2.632067694250547
61,0.9867138169346616,1.7652863937112535,0.6840240473626795,0.7570027455627771,2.588351186852907,0.8144407703874388,0.6372407692985741,0.9638564882271722,2.2549681186754484,1.246496569083071,0.721828975467807,1.713973244002698,0.6875250144488092,1.118142559158732,1.0580945232046273,2.121059757791848,2.520375604801476,1.3516648614078324,1.0935953147563908,2.7691735966122697
62,0.9559438573232406,1.6787035797998497,0.7450658945456546,0.7320894847185492,2.6738188603197117,0.7745925598166804,0.5837024112844728,0.8910712654817633,2.2169653639214437,0.9823364577726096,0.5942153573774404,1.8282570871965351,0.6828846408930099,1.1158797589723572,1.161349766027846,2.106605049804932,2.5143183117169587,1.3803092421521288,1.1843973504720977,2.680595809890389
